HDI rank,Country,HDI,Life expectancy at birth,Expected years of schooling,Mean years of schooling,GNI per capita
1,Iceland,0.972,82.7,18.9,13.9,69116.94
2,Norway,0.970,83.3,18.8,13.1,112710.02
2,Switzerland,0.970,84.0,16.7,13.9,81948.90
4,Denmark,0.962,81.9,18.7,13.0,76007.86
5,Germany,0.959,81.4,17.3,14.3,64053.22
5,Sweden,0.959,83.3,19.0,12.7,66102.09
7,Australia,0.958,83.9,20.7,12.9,58276.88
8,"Hong Kong, China (SAR)",0.955,85.5,16.9,12.4,69435.76
8,Netherlands,0.955,82.2,18.6,12.7,68344.31
10,Belgium,0.951,82.1,19.0,12.7,63582.48
11,Ireland,0.949,82.4,19.2,11.7,90884.63
12,Finland,0.948,81.9,19.5,13.0,57067.64
13,Singapore,0.946,83.7,16.7,12.0,111239.23
13,United Kingdom,0.946,81.3,17.8,13.5,54371.59
15,United Arab Emirates,0.940,82.9,15.6,13.0,71142.30
16,Canada,0.939,82.6,15.9,13.9,54688.42
17,Liechtenstein,0.938,83.6,15.4,12.4,166811.67
17,New Zealand,0.938,82.1,19.3,12.9,47259.60
17,United States,0.938,79.3,15.9,13.9,73650.03
20,Korea (Republic of),0.937,84.3,16.6,12.7,49726.45
21,Slovenia,0.931,81.6,17.5,13.0,46360.81
22,Austria,0.930,82.0,16.3,12.4,63479.21
23,Japan,0.925,84.7,15.5,12.7,47774.61
24,Malta,0.924,83.3,15.9,12.4,52155.07
25,Luxembourg,0.922,82.2,14.4,12.6,85461.25
26,France,0.920,83.3,16.1,11.8,55060.16
27,Israel,0.919,82.4,14.9,13.5,48050.11
28,Spain,0.918,83.7,17.8,10.8,46008.44
29,Czechia,0.915,79.8,16.8,13.0,45889.01
29,Italy,0.915,83.7,16.7,10.8,52388.88
29,San Marino,0.915,85.7,14.6,11.4,64706.38
32,Andorra,0.913,84.0,14.5,11.6,64631.07
32,Cyprus,0.913,81.6,16.2,12.6,45394.16
34,Greece,0.908,81.9,20.8,11.6,35760.75
35,Poland,0.906,78.6,16.7,13.2,42217.64
36,Estonia,0.905,79.2,16.0,13.6,40880.93
37,Saudi Arabia,0.900,78.7,16.9,11.6,50298.91
38,Bahrain,0.899,81.3,15.9,11.1,52818.80
39,Lithuania,0.895,76.0,16.5,13.6,41916.47
40,Portugal,0.890,82.4,17.5,9.7,41063.93
41,Croatia,0.889,78.6,16.3,12.1,41379.89
41,Latvia,0.889,76.2,16.5,13.4,37997.82
43,Qatar,0.886,82.4,13.1,10.8,105353.27
44,Slovakia,0.880,78.3,14.9,13.1,36792.99
45,Chile,0.878,81.2,16.9,11.3,28047.17
46,Hungary,0.870,77.0,15.5,12.3,37236.07
47,Argentina,0.865,77.4,18.8,11.2,25876.05
48,Montenegro,0.862,77.1,15.5,12.8,28026.33
48,Uruguay,0.862,78.1,17.5,10.5,28649.82
50,Oman,0.858,80.0,13.4,11.9,36096.04
51,Türkiye,0.853,77.2,19.8,9.0,34506.98
52,Kuwait,0.852,80.4,15.9,7.6,56612.05
53,Antigua and Barbuda,0.851,77.6,15.5,11.6,27386.52
54,Seychelles,0.848,72.9,18.2,11.2,29195.04
55,Bulgaria,0.845,75.6,15.3,11.5,32174.93
55,Romania,0.845,75.9,14.1,11.6,39374.25
57,Georgia,0.844,74.5,16.8,12.7,20752.57
58,Saint Kitts and Nevis,0.840,72.1,18.4,10.8,29105.44
59,Panama,0.839,79.6,13.3,10.8,34384.57
60,Brunei Darussalam,0.837,75.3,13.7,9.3,75826.87
60,Kazakhstan,0.837,74.4,14.0,12.5,30988.53
62,Costa Rica,0.833,80.8,16.3,8.8,23417.21
62,Serbia,0.833,76.8,15.0,11.6,23114.81
64,Russian Federation,0.832,73.2,13.2,12.4,39221.68
65,Belarus,0.824,74.4,13.7,12.3,26724.87
66,Bahamas,0.820,74.6,11.9,12.8,30974.68
67,Malaysia,0.819,76.7,12.7,11.1,32553.09
68,North Macedonia,0.815,77.4,14.8,10.2,22128.39
69,Armenia,0.811,75.7,14.4,11.3,20220.72
69,Barbados,0.811,76.2,16.6,9.9,17327.52
71,Albania,0.810,79.6,14.5,10.2,17627.39
72,Trinidad and Tobago,0.807,73.5,14.2,10.8,27000.15
73,Mauritius,0.806,74.9,14.2,10.1,27279.96
74,Bosnia and Herzegovina,0.804,77.9,13.2,11.0,19827.49
75,Iran (Islamic Republic of),0.799,77.7,14.0,10.8,16095.77
76,Saint Vincent and the Grenadines,0.798,71.2,16.3,11.3,17246.64
76,Thailand,0.798,76.4,15.4,9.0,20569.90
78,China,0.797,78.0,15.5,8.0,22029.22
79,Peru,0.794,77.7,14.9,10.2,14338.71
80,Grenada,0.791,75.2,16.6,9.4,14349.03
81,Azerbaijan,0.789,74.4,12.9,11.1,20667.96
81,Mexico,0.789,75.1,14.5,9.3,21812.66
83,Colombia,0.788,77.7,14.3,9.0,18665.95
84,Brazil,0.786,75.8,15.8,8.4,18011.29
84,Palau,0.786,69.3,14.1,13.3,16034.51
86,Moldova (Republic of),0.785,71.2,14.6,11.8,15866.54
87,Ukraine,0.779,73.4,13.3,11.1,16933.14
88,Ecuador,0.777,77.4,14.9,9.0,13986.40
89,Dominican Republic,0.776,73.7,13.6,9.4,22023.51
89,Guyana,0.776,70.2,13.0,8.7,46959.25
89,Sri Lanka,0.776,77.5,13.1,10.8,12615.60
92,Tonga,0.769,72.9,17.8,10.9,7438.21
93,Maldives,0.766,81.0,12.8,7.4,19317.32
93,Viet Nam,0.766,74.6,15.5,9.0,13032.64
95,Turkmenistan,0.764,70.1,13.2,11.2,17715.58
96,Algeria,0.763,76.3,15.5,7.4,15114.17
97,Cuba,0.762,78.1,13.9,10.6,8415.41
