State Name,District Name,Total
Andaman And Nicobar Islands,Nicobars,349.0
Andaman And Nicobar Islands,North And Middle Andaman,2054.0
Andaman And Nicobar Islands,South Andamans,4467.0
Andhra Pradesh,Alluri Sitharama Raju,477.0
Andhra Pradesh,Anakapalli,423.0
Andhra Pradesh,Ananthapuramu,100286.0
Andhra Pradesh,Annamayya,267.0
Andhra Pradesh,Bapatla,149.0
Andhra Pradesh,Chittoor,103438.0
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,563.0
Andhra Pradesh,East Godavari,97923.0
Andhra Pradesh,Eluru,621.0
Andhra Pradesh,Guntur,90592.0
Andhra Pradesh,Kakinada,1599.0
Andhra Pradesh,Krishna,65248.0
Andhra Pradesh,Kurnool,74509.0
Andhra Pradesh,Nandyal,457.0
Andhra Pradesh,Ntr,1132.0
Andhra Pradesh,Palnadu,190.0
Andhra Pradesh,Parvathipuram Manyam,271.0
Andhra Pradesh,Prakasam,60393.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,30941.0
Andhra Pradesh,Sri Sathya Sai,418.0
Andhra Pradesh,Srikakulam,52192.0
Andhra Pradesh,Tirupati,689.0
Andhra Pradesh,Visakhapatnam,77134.0
Andhra Pradesh,Vizianagaram,63088.0
Andhra Pradesh,West Godavari,62898.0
Andhra Pradesh,Y.S.R.,83669.0
Arunachal Pradesh,Anjaw,71.0
Arunachal Pradesh,Changlang,297.0
Arunachal Pradesh,Dibang Valley,20.0
Arunachal Pradesh,East Kameng,445.0
Arunachal Pradesh,East Siang,247.0
Arunachal Pradesh,Kamle,4.0
Arunachal Pradesh,Keyi Panyor,0.0
Arunachal Pradesh,Kra Daadi,1.0
Arunachal Pradesh,Kurung Kumey,21.0
Arunachal Pradesh,Leparada,4.0
Arunachal Pradesh,Lohit,39.0
Arunachal Pradesh,Longding,106.0
Arunachal Pradesh,Lower Dibang Valley,452.0
Arunachal Pradesh,Lower Subansiri,41.0
Arunachal Pradesh,Namsai,288.0
Arunachal Pradesh,Pakke Kessang,5.0
Arunachal Pradesh,Papum Pare,1519.0
